,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_title
0,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.0,1099.0,64.0,4.2,24269.0,"Satisfied,Charging is really fast,Value for money,Product review,Good quality,Good product,Good Product,As of now seems good"
1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,349.0,43.0,4.0,43994.0,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit"
2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,1899.0,90.0,3.9,7928.0,"Good speed for earlier versions,Good Product,Working good,Good for the price,Good,Worth for money,Working nice,it's a really nice product"
3,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.0,699.0,53.0,4.2,94363.0,"Good product,Good one,Nice,Really nice product,Very first time change,Good,Fine product but could be better,Very nice it's charging like jet"
4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.0,399.0,61.0,4.2,16905.0,"As good as original,Decent,Good one for secondary use,Best quality,GOOD,Amazing product at a mind blowing price!,Nice Quality,Good product"
5,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.0,1000.0,85.0,3.9,24871.0,"It's pretty good,Average quality,very good and useful usb cable,Good USB cable. My experience was very good it is long lasting,Good,Nice product and useful,-,Sturdy but does not support 33w charging"
6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,176.63,499.0,65.0,4.1,15188.0,"Long durable.,good,Does not charge Lenovo m8 tab,Best charging cable,good,Boat,Product was good,1.5 m का केबल मेरे लिए बहुत ही लाभदायक है ।"
7,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,229.0,299.0,23.0,4.3,30411.0,"Worth for money - suitable for Android auto,Good Product,Length,Nice,Original,Very good quay Cable support fast charging.,Original MI cable for charging upto 33 watt,I am veri happy with this product as it provide turbo charging."
8,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499.0,999.0,50.0,4.2,179691.0,"Works on linux for me. Get the model with antenna.,Does what it say but other brands available at lesser price,Easy Handle,Great product,Perfect working,Speed is perfect,Great Design, Build, Connectivity Range, Packaging and other features but no linux support since v2,Very good"
9,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.0,299.0,33.0,4.0,43994.0,"A Good Braided Cable for Your Type C Device,Good quality product from ambrane,Super cable,As,Good quality,Good product,its good,Good quality for the price but one issue with my unit"
