PassengerId,Survived,Pclass,Age,Fare,FamilySize,Sex_binary,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Is_Adult_No,Is_Adult_Yes
1,0,3,22.0,7.25,1,0,False,True,False,False,True,False,True
2,1,1,38.0,71.2833,1,1,True,False,True,False,False,False,True
3,1,3,26.0,7.925,0,1,True,False,False,False,True,False,True
4,1,1,35.0,53.1,1,1,True,False,False,False,True,False,True
5,0,3,35.0,8.05,0,0,False,True,False,False,True,False,True
6,0,3,29.69911764705882,8.4583,0,0,False,True,False,True,False,False,True
7,0,1,54.0,51.8625,0,0,False,True,False,False,True,False,True
8,0,3,2.0,21.075,4,0,False,True,False,False,True,True,False
9,1,3,27.0,11.1333,2,1,True,False,False,False,True,False,True
10,1,2,14.0,30.0708,1,1,True,False,True,False,False,True,False
11,1,3,4.0,16.7,2,1,True,False,False,False,True,True,False
12,1,1,58.0,26.55,0,1,True,False,False,False,True,False,True
13,0,3,20.0,8.05,0,0,False,True,False,False,True,False,True
14,0,3,39.0,31.275,6,0,False,True,False,False,True,False,True
15,0,3,14.0,7.8542,0,1,True,False,False,False,True,True,False
16,1,2,55.0,16.0,0,1,True,False,False,False,True,False,True
17,0,3,2.0,29.125,5,0,False,True,False,True,False,True,False
18,1,2,29.69911764705882,13.0,0,0,False,True,False,False,True,False,True
19,0,3,31.0,18.0,1,1,True,False,False,False,True,False,True
20,1,3,29.69911764705882,7.225,0,1,True,False,True,False,False,False,True
21,0,2,35.0,26.0,0,0,False,True,False,False,True,False,True
22,1,2,34.0,13.0,0,0,False,True,False,False,True,False,True
23,1,3,15.0,8.0292,0,1,True,False,False,True,False,True,False
24,1,1,28.0,35.5,0,0,False,True,False,False,True,False,True
25,0,3,8.0,21.075,4,1,True,False,False,False,True,True,False
26,1,3,38.0,31.3875,6,1,True,False,False,False,True,False,True
27,0,3,29.69911764705882,7.225,0,0,False,True,True,False,False,False,True
28,0,1,19.0,263.0,5,0,False,True,False,False,True,False,True
